Experiment,Colony,Location,Treatment,Temp,Sed,Chamber,Day,Time,rsq,mo2
2,6,SB,C,C,C,2,Day2,15,0.819,0.680657192
2,6,SB,C,C,C,2,Day2,16,0.511,0.346500156
2,6,SB,C,C,C,2,Day2,17,0.854,0.846578818
2,6,SB,C,C,C,2,Day2,18,0.582,0.413556414
2,6,SB,C,C,C,2,Day2,19,0.8,0.742609325
2,6,SB,C,C,C,2,Day2,20,0.767,0.631922394
2,6,SB,C,C,C,2,Day2,21,0.299,0.2604134
2,6,SB,C,C,C,2,Day2,22,0.000433,0.00779686
2,6,SB,C,C,C,2,Day2,23,0.0116,0.03785095
2,6,SB,C,C,C,2,Day2,24,0.427,0.314430727
2,6,SB,C,C,C,2,Day2,25,0.277,0.226427438
2,6,SB,C,C,C,2,Day2,26,0.298,0.249137872
2,6,SB,C,C,C,2,Day2,27,0.504,0.312859956
2,6,SB,C,C,C,2,Day2,28,0.707,0.724233227
2,6,SB,C,C,C,2,Day2,29,0.709,0.533850137
2,6,SB,C,C,C,2,Day2,30,0.704,0.506067391
2,6,SB,C,C,C,2,Day2,31,0.604,0.446287705
2,6,SB,C,C,C,2,Day2,32,0.818,0.644932602
2,6,SB,C,C,C,2,Day2,33,0.658,0.546930283
2,6,SB,C,C,C,2,Day2,34,0.675,0.493265974
2,6,SB,C,C,C,2,Day2,35,0.745,0.54116086
2,6,SB,C,C,C,2,Day2,36,0.661,0.529412615
2,6,SB,C,C,C,2,Day2,37,0.571,0.459804791
2,6,SB,C,C,C,2,Day2,38,0.75,0.672096589
2,6,SB,C,C,C,2,Day2,39,0.654,0.495362588
2,6,SB,C,C,C,2,Day2,40,0.564,0.416135347
2,6,SB,C,C,C,2,Day2,41,0.661,0.473757362
2,6,SB,C,C,C,2,Day2,42,0.498,0.322649063
2,6,SB,C,C,C,2,Day2,43,0.64,0.451162504
2,6,SB,C,C,C,2,Day2,44,0.412,0.253916493
2,6,SB,C,C,C,2,Day2,45,0.407,0.278848013
2,6,SB,C,C,C,2,Day2,46,0.812,0.619212326
2,6,SB,C,C,C,2,Day2,47,0.784,0.636326116
2,7,SB,C,C,C,3,Day2,1,0.97,2.074918108
2,7,SB,C,C,C,3,Day2,2,0.926,1.351549522
2,7,SB,C,C,C,3,Day2,3,0.965,1.847530677
2,7,SB,C,C,C,3,Day2,4,0.949,1.409951467
2,7,SB,C,C,C,3,Day2,5,0.924,1.372807685
2,7,SB,C,C,C,3,Day2,6,0.918,1.327236244
2,7,SB,C,C,C,3,Day2,7,0.936,1.51939658
2,7,SB,C,C,C,3,Day2,8,0.945,1.580693351
2,7,SB,C,C,C,3,Day2,9,0.958,1.697927258
2,7,SB,C,C,C,3,Day2,10,0.938,1.600453658
2,7,SB,C,C,C,3,Day2,11,0.968,1.796537089
2,7,SB,C,C,C,3,Day2,12,0.966,2.033930516
2,7,SB,C,C,C,3,Day2,13,0.972,2.079330288
2,7,SB,C,C,C,3,Day2,14,0.934,1.384552615
2,7,SB,C,C,C,3,Day2,15,0.946,1.516929213
2,7,SB,C,C,C,3,Day2,16,0.872,1.00396694
2,7,SB,C,C,C,3,Day2,17,0.962,1.760802182
2,7,SB,C,C,C,3,Day2,18,0.931,1.693645627
2,7,SB,C,C,C,3,Day2,19,0.929,1.739934979
2,7,SB,C,C,C,3,Day2,20,0.938,1.888402164
2,7,SB,C,C,C,3,Day2,21,0.935,1.795900824
2,7,SB,C,C,C,3,Day2,22,0.906,1.559986938
2,7,SB,C,C,C,3,Day2,23,0.922,1.388795921
2,7,SB,C,C,C,3,Day2,24,0.947,1.665368915
2,7,SB,C,C,C,3,Day2,25,0.944,1.739025164
2,7,SB,C,C,C,3,Day2,26,0.877,1.147009723
2,7,SB,C,C,C,3,Day2,27,0.906,1.192560412
2,7,SB,C,C,C,3,Day2,28,0.928,1.536161956
2,7,SB,C,C,C,3,Day2,29,0.91,1.3454173
2,7,SB,C,C,C,3,Day2,30,0.912,1.328043103
2,7,SB,C,C,C,3,Day2,31,0.898,1.307524159
2,7,SB,C,C,C,3,Day2,32,0.889,1.150641157
2,7,SB,C,C,C,3,Day2,33,0.882,1.262346195
2,7,SB,C,C,C,3,Day2,34,0.858,1.008696282
2,7,SB,C,C,C,3,Day2,35,0.834,0.870186963
2,7,SB,C,C,C,3,Day2,36,0.845,0.861235318
2,7,SB,C,C,C,3,Day2,37,0.83,0.860272835
2,7,SB,C,C,C,3,Day2,38,0.869,1.021868051
2,7,SB,C,C,C,3,Day2,39,0.798,0.778592084
2,7,SB,C,C,C,3,Day2,40,0.821,0.755644313
2,7,SB,C,C,C,3,Day2,41,0.804,0.649062002
2,7,SB,C,C,C,3,Day2,42,0.731,0.599246957
2,7,SB,C,C,C,3,Day2,43,0.697,0.531785339
2,7,SB,C,C,C,3,Day2,44,0.384,0.255259165
2,7,SB,C,C,C,3,Day2,45,0.298,0.225014455
2,7,SB,C,C,C,3,Day2,46,0.475,0.326420434
2,7,SB,C,C,C,3,Day2,47,0.508,0.339156569
2,7,SB,C,C,C,3,Day2,48,0.347,-0.661713495
2,8,SB,C,C,C,4,Day2,1,0.992,-3.956193299
2,8,SB,C,C,C,4,Day2,2,0.989,-3.773995887
2,8,SB,C,C,C,4,Day2,3,0.994,-3.825266372
2,8,SB,C,C,C,4,Day2,4,0.993,-3.867502105
2,8,SB,C,C,C,4,Day2,5,0.992,-3.594098437
2,8,SB,C,C,C,4,Day2,6,0.992,-3.750937682
2,8,SB,C,C,C,4,Day2,7,0.991,-3.547806597
2,8,SB,C,C,C,4,Day2,8,0.99,-3.772724266
2,8,SB,C,C,C,4,Day2,9,0.992,-3.762891751
2,8,SB,C,C,C,4,Day2,10,0.992,-3.791473513
2,8,SB,C,C,C,4,Day2,11,0.992,-3.716951845
2,8,SB,C,C,C,4,Day2,12,0.993,-3.844409423
2,8,SB,C,C,C,4,Day2,13,0.991,-3.857738407
2,8,SB,C,C,C,4,Day2,14,0.99,-3.745226265
2,8,SB,C,C,C,4,Day2,15,0.248,2.070870531
2,8,SB,C,C,C,4,Day2,16,0.631,6.167000851
2,8,SB,C,C,C,4,Day2,17,0.0576,0.763869246
2,8,SB,C,C,C,4,Day2,18,0.122,0.136146556
2,8,SB,C,C,C,4,Day2,19,0.936,-2.138965889
2,8,SB,C,C,C,4,Day2,20,0.962,1.622674445
2,8,SB,C,C,C,4,Day2,21,0.969,1.852012465
2,8,SB,C,C,C,4,Day2,22,0.917,1.130194834
2,8,SB,C,C,C,4,Day2,23,0.956,1.62544685
2,8,SB,C,C,C,4,Day2,24,0.924,1.238880839
2,8,SB,C,C,C,4,Day2,25,0.902,1.134129593
2,8,SB,C,C,C,4,Day2,26,0.895,1.056890268
2,8,SB,C,C,C,4,Day2,27,0.914,1.240065605
2,8,SB,C,C,C,4,Day2,28,0.922,1.289866262
2,8,SB,C,C,C,4,Day2,29,0.942,1.439627068
2,8,SB,C,C,C,4,Day2,30,0.928,1.294438016
2,8,SB,C,C,C,4,Day2,31,0.961,1.610422553
2,8,SB,C,C,C,4,Day2,32,0.955,1.747582797
2,8,SB,C,C,C,4,Day2,33,0.959,1.802115336
2,8,SB,C,C,C,4,Day2,34,0.907,1.127039819
2,8,SB,C,C,C,4,Day2,35,0.907,1.21893072
2,8,SB,C,C,C,4,Day2,36,0.837,0.776190454
2,8,SB,C,C,C,4,Day2,37,0.948,1.548787722
2,8,SB,C,C,C,4,Day2,38,0.893,1.301946339
2,8,SB,C,C,C,4,Day2,39,0.902,1.340990432
2,8,SB,C,C,C,4,Day2,40,0.893,1.386157728
2,8,SB,C,C,C,4,Day2,41,0.908,1.360883353
2,8,SB,C,C,C,4,Day2,42,0.863,1.110324256
2,8,SB,C,C,C,4,Day2,43,0.889,1.088652889
2,8,SB,C,C,C,4,Day2,44,0.899,1.317508168
2,8,SB,C,C,C,4,Day2,45,0.897,1.339725713
2,8,SB,C,C,C,4,Day2,46,0.816,0.837349304
2,8,SB,C,C,C,4,Day2,47,0.846,0.918468764
2,8,SB,C,C,C,4,Day2,48,0.882,1.179898191
2,8,SB,C,C,C,4,Day2,49,0.844,0.982990274
2,8,SB,C,C,C,4,Day2,50,0.858,0.995461209
3,3,NB,C,C,C,1,Day2,1,0.984,-0.769030142
3,3,NB,C,C,C,1,Day2,2,0.985,-0.68391427
3,3,NB,C,C,C,1,Day2,3,0.988,-0.734818783
3,3,NB,C,C,C,1,Day2,4,0.986,-0.685645557
3,3,NB,C,C,C,1,Day2,5,0.837,-0.691170635
3,3,NB,C,C,C,1,Day2,6,0.987,-0.644363869
3,3,NB,C,C,C,1,Day2,7,0.977,-0.56337484
3,3,NB,C,C,C,1,Day2,8,0.324,-0.143142364
3,3,NB,C,C,C,1,Day2,9,0.984,-0.624603141
3,3,NB,C,C,C,1,Day2,10,0.984,-0.847354594
3,3,NB,C,C,C,1,Day2,11,0.954,-0.950772953
3,3,NB,C,C,C,1,Day2,12,0.987,-0.892418474
3,3,NB,C,C,C,1,Day2,13,0.947,-0.500637038
3,3,NB,C,C,C,1,Day2,14,0.981,-0.695900036
3,3,NB,C,C,C,1,Day2,15,0.959,-0.533357449
3,3,NB,C,C,C,1,Day2,16,0.966,-0.521908548
3,3,NB,C,C,C,1,Day2,17,0.978,-0.649519797
3,3,NB,C,C,C,1,Day2,18,0.981,-0.646320064
3,3,NB,C,C,C,1,Day2,19,0.975,-0.652204735
3,3,NB,C,C,C,1,Day2,20,0.98,-0.654381316
3,3,NB,C,C,C,1,Day2,21,0.963,-0.590565483
3,3,NB,C,C,C,1,Day2,22,0.916,-0.480329194
3,3,NB,C,C,C,1,Day2,23,0.975,-0.52141013
3,3,NB,C,C,C,1,Day2,24,0.968,-0.45277092
3,3,NB,C,C,C,1,Day2,25,0.981,-0.561217946
3,3,NB,C,C,C,1,Day2,26,0.978,-0.601904678
3,3,NB,C,C,C,1,Day2,27,0.936,-0.316319662
3,3,NB,C,C,C,1,Day2,28,0.93,-0.351323989
3,3,NB,C,C,C,1,Day2,29,0.987,-0.722206955
3,3,NB,C,C,C,1,Day2,30,0.988,-0.737004633
3,3,NB,C,C,C,1,Day2,31,0.973,-0.577432152
3,3,NB,C,C,C,1,Day2,32,0.986,-0.654911862
