Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Turbidity,Gnet,Gnet2,mo2_turb_avg,mo2_turb
7,12,1,C,6,8-Jun,SB,178.9,1.06,203.3483066,-16.26786453,0.72150296,0.703816724
7,13,1,C,6,8-Jun,SB,-0.6,1.25,-0.681995439,0.054559635,0.764897103,0.777341133
7,14,1,C,6,8-Jun,SB,-2.3,1.38,-2.614315848,0.209145268,0.674823946,0.605217322
7,15,1,C,6,8-Jun,SB,-14,1.22,-15.9132269,1.273058152,0.739556365,0.429127052
7,16,1,C,6,8-Jun,SB,7.2,1.65,8.183945263,-0.654715621,0.402180508,0.435772981
7,17,1,C,6,8-Jun,SB,3.9,1.26,4.432970351,-0.354637628,0.458141986,0.498259606
7,18,1,C,6,8-Jun,SB,42.3,1.21,48.08067842,-3.846454274,0.421589813,0.428571341
7,19,1,C,6,8-Jun,SB,-15.8,1.32,-17.95921322,1.436737057,0.465462694,0.471663996
7,20,1,C,6,8-Jun,SB,3,1.21,3.409977193,-0.272798175,0.479665428,0.465297949
7,21,1,C,6,8-Jun,SB,11.5,1.17,13.07157924,-1.045726339,0.572062486,0.665200196
7,22,1,C,6,8-Jun,SB,-1.7,1.31,-1.932320409,0.154585633,0.461565631,0.412427092
7,23,1,C,6,8-Jun,SB,-9.6,1.59,-10.91192702,0.872954161,0.472692402,0.495475538
8,1,1,C,8,7-Aug,SB,-17.8,0.75,-26.3454407,2.107635256,-0.250729048,-0.230247158
8,2,1,C,8,7-Aug,SB,10.8,0.82,15.98487413,-1.27878993,-0.094197611,-0.087603522
8,3,1,C,8,7-Aug,SB,-0.8,2,-1.18406475,0.09472518,-0.252822118,-0.210737061
8,4,1,C,8,7-Aug,SB,0.3,1.27,0.444024281,-0.035521943,-0.138003371,-0.2534741
8,5,1,C,8,7-Aug,SB,-16.7,1.09,-24.71735166,1.977388133,0.023672676,0.07845031
8,6,1,C,8,7-Aug,SB,3.6,1.61,5.328291377,-0.42626331,0.056495272,0.049467661
8,7,1,C,8,7-Aug,SB,-4.1,1.5,-6.068331846,0.485466548,0.085058331,0.080783919
8,8,1,C,8,7-Aug,SB,6.3,1.25,9.32450991,-0.745960793,0.091576651,0.089152509
8,9,1,C,8,7-Aug,SB,-5.3,3.46,-7.844428972,0.627554318,0.179815212,0.229263528
8,10,1,C,8,7-Aug,SB,-9.7,1.02,-14.3567851,1.148542808,0.233990055,0.251037119
8,11,1,C,8,7-Aug,SB,1.2,1.14,1.776097126,-0.14208777,0.191144127,-0.236147326
8,12,1,C,8,7-Aug,SB,-6.9,0.94,-10.21255847,0.817004678,-0.22175484,-0.281745546
8,13,1,C,8,7-Aug,SB,-8,1.25,-11.8406475,0.9472518,-0.129006234,-0.089552827
8,14,1,C,8,7-Aug,SB,-21.1,1.2,-31.22970779,2.498376623,-0.068602128,-0.056199143
8,15,1,C,8,7-Aug,SB,-0.6,0.65,-0.888048563,0.071043885,-0.019636698,-0.03013257
8,16,1,C,8,7-Aug,SB,0.6,1.13,0.888048563,-0.071043885,-0.01645887,-0.025459519
8,17,1,C,8,7-Aug,SB,2.5,0.8,3.700202345,-0.296016188,0.016729728,0.016121966
8,18,1,C,8,7-Aug,SB,0.3,0.99,0.444024281,-0.035521943,-0.070812846,-0.058052633
8,19,1,C,8,7-Aug,SB,-15.1,1.32,-22.34922216,1.787937773,-0.063988288,-0.102260072
8,20,1,C,8,7-Aug,SB,-1.9,0.95,-2.812153782,0.224972303,-0.08084874,-0.096719777
8,21,1,C,8,7-Aug,SB,4,0.97,5.920323752,-0.4736259,-0.406992583,-0.410602999
8,22,1,C,8,7-Aug,SB,-2.2,1.39,-3.256178064,0.260494245,-0.380700425,-0.35878653
8,23,1,C,8,7-Aug,SB,-7.6,1.56,-11.24861513,0.89988921,-0.422815666,-0.471076812
8,24,1,C,8,7-Aug,SB,2.8,1.69,4.144226626,-0.33153813,-0.617091206,-0.638290469
9,1,1,C,4,6-Apr,NB,-7.8,0.85,-5.501789289,0.440143143,0.27826809,0.343035401
9,2,1,C,4,6-Apr,NB,0.6,0.8,0.423214561,-0.033857165,0.221163952,0.263206473
9,3,1,C,4,6-Apr,NB,3.4,0.9,2.398215844,-0.191857268,0.335105497,0.402815435
9,4,1,C,4,6-Apr,NB,3.1,3.25,2.186608564,-0.174928685,0.595660002,0.934990861
9,5,1,C,4,6-Apr,NB,-3.5,1.25,-2.468751604,0.197500128,0.37552499,0.420313708
9,6,1,C,4,6-Apr,NB,-1.6,1.21,-1.128572162,0.090285773,0.69046353,0.901666935
9,7,1,C,4,6-Apr,NB,-2,1.04,-1.410715202,0.112857216,0.705316182,0.748667254
9,8,1,C,4,6-Apr,NB,-2.3,1.25,-1.622322483,0.129785799,0.790936339,0.739472051
9,9,1,C,4,6-Apr,NB,-9.7,1.07,-6.841968731,0.547357499,0.671737373,0.577420324
9,10,1,C,4,6-Apr,NB,-3.6,1.09,-2.539287364,0.203142989,0.667752373,0.640331183
9,11,1,C,4,6-Apr,NB,-3.6,1.3,-2.539287364,0.203142989,0.741988767,0.726158928
9,12,1,C,4,6-Apr,NB,0.8,1.1,0.564286081,-0.045142886,0.770490725,0.830689772
9,13,1,C,4,6-Apr,NB,4.7,0.93,3.315180726,-0.265214458,0.641165066,0.627187837
9,14,1,C,4,6-Apr,NB,-3.1,10.23,-2.186608564,0.174928685,0.510050177,0.544520136
9,15,1,C,4,6-Apr,NB,-4.6,1.27,-3.244644965,0.259571597,0.373121764,0.275041194
9,16,1,C,4,6-Apr,NB,-1.9,1.19,-1.340179442,0.107214355,0.146678533,0.121750253
9,17,1,C,4,6-Apr,NB,1.9,1.19,1.340179442,-0.107214355,0.117572032,0.13053169
9,18,1,C,4,6-Apr,NB,-1.6,1.12,-1.128572162,0.090285773,0.107797787,0.118900545
9,19,1,C,4,6-Apr,NB,0.3,1.91,0.21160728,-0.016928582,0.172320737,0.152841636
9,20,1,C,4,6-Apr,NB,-6.2,1.01,-4.373217127,0.34985737,0.112910068,0.101204766
9,21,1,C,4,6-Apr,NB,-0.3,0.93,-0.21160728,0.016928582,0.018222498,0.00607237
9,22,1,C,4,6-Apr,NB,-4.8,1.04,-3.385716486,0.270857319,0.049347245,0.097616002
9,23,1,C,4,6-Apr,NB,0.2,1.23,0.14107152,-0.011285722,-0.057166875,-0.005586406
9,24,1,C,4,6-Apr,NB,2.8,1.05,1.975001283,-0.158000103,-0.032669878,-0.004006681
10,1,1,C,3,9-Mar,NB,-14.1,1.19,-17.56087258,1.404869806,-0.279314035,-0.168916888
10,2,1,C,3,9-Mar,NB,3.4,0.9,4.23453665,-0.338762932,-0.006007564,0.082771774
10,3,1,C,3,9-Mar,NB,-29.4,0.93,-36.6162875,2.929303,0.030607548,-0.171611498
10,4,1,C,3,9-Mar,NB,20.9,1.97,26.02994588,-2.08239567,-0.194621826,-0.200156963
10,5,1,C,3,9-Mar,NB,-89.1,1.88,-110.9697693,8.877581541,-0.191170283,-0.189481674
10,6,1,C,3,9-Mar,NB,-7.4,1.89,-9.216344473,0.737307558,-0.150601331,-0.189749429
10,7,1,C,3,9-Mar,NB,-2,1.93,-2.490903912,0.199272313,-0.216432959,-0.280208979
10,8,1,C,3,9-Mar,NB,4,1.5,4.981807823,-0.398544626,-0.053070479,0.156623707
10,9,1,C,3,9-Mar,NB,-4.6,1.12,-5.729078997,0.45832632,0.164238514,-0.038984767
10,10,1,C,3,9-Mar,NB,4.1,1.33,5.106353019,-0.408508242,0.101748842,0.197111269
10,11,1,C,3,9-Mar,NB,2.1,2.01,2.615449107,-0.209235929,0.108959446,0.049308716
10,12,1,C,3,9-Mar,NB,-0.2,2.07,-0.249090391,0.019927231,0.03693242,0.019398227
10,13,1,C,3,9-Mar,NB,0.5,1.67,0.622725978,-0.049818078,0.20977512,0.184170937
10,14,1,C,3,9-Mar,NB,-8.8,1.25,-10.95997721,0.876798177,0.262129629,0.297560608
10,15,1,C,3,9-Mar,NB,-2.5,1.32,-3.11362989,0.249090391,0.154891644,0.085020978
10,16,1,C,3,9-Mar,NB,-3.9,1.38,-4.857262628,0.38858101,0.004126498,-0.065816756
10,17,1,C,3,9-Mar,NB,-8.6,1.45,-10.71088682,0.856870946,-0.109557828,-0.198618246
10,18,1,C,3,9-Mar,NB,-3.4,1.04,-4.23453665,0.338762932,-0.193810099,-0.222782216
10,19,1,C,3,9-Mar,NB,-3.5,1.06,-4.359081845,0.348726548,-0.240246465,-0.286247769
10,20,1,C,3,9-Mar,NB,4.5,1.37,5.604533801,-0.448362704,-0.357085331,-0.381810978
10,21,1,C,3,9-Mar,NB,-2,1.07,-2.490903912,0.199272313,-0.444229223,-0.492173695
10,22,1,C,3,9-Mar,NB,-7.2,1.28,-8.967254082,0.717380327,-0.480908568,-0.507089567
10,23,1,C,3,9-Mar,NB,-2.4,1.24,-2.989084694,0.239126776,-0.484039463,-0.53951331
10,24,1,C,3,9-Mar,NB,-4.7,1.02,-5.853624192,0.468289935,-0.537829866,-0.540239539
11,1,1,C,7,5-Jul,SB,-17.5,1.5,-18.08171667,1.446537334,-0.396110773,0.397959944
11,2,1,C,7,5-Jul,SB,-0.6,1.6,-0.619944572,0.049595566,1.185963306,1.293684106
11,3,1,C,7,5-Jul,SB,-7.5,1.03,-7.749307144,0.619944572,1.290348405,1.283073793
11,4,1,C,7,5-Jul,SB,-10.7,1.83,-11.05567819,0.884454255,1.376709034,1.510679678
11,5,1,C,7,5-Jul,SB,-1.5,1.62,-1.549861429,0.123988914,1.246800521,1.25493763
11,6,1,C,7,5-Jul,SB,-0.3,1.06,-0.309972286,0.024797783,1.448071788,1.512077079
11,7,1,C,7,5-Jul,SB,-0.9,2.53,-0.929916857,0.074393349,1.493797181,1.485883151
11,8,1,C,7,5-Jul,SB,-5.2,1.58,-5.372852953,0.429828236,1.003623118,0.537905418
11,9,1,C,7,5-Jul,SB,0.3,1.92,0.309972286,-0.024797783,1.148885654,1.161754116
11,10,1,C,7,5-Jul,SB,3.1,0.99,3.203046953,-0.256243756,1.570284901,1.60969634
11,11,1,C,7,5-Jul,SB,1.5,1.98,1.549861429,-0.123988914,1.253877762,1.627916457
11,12,1,C,7,5-Jul,SB,-3.3,2.46,-3.409695144,0.272775611,0.5901108,0.621542466
11,13,1,C,7,5-Jul,SB,0.5,1.43,0.516620476,-0.041329638,0.559312698,0.549779509
11,14,1,C,7,5-Jul,SB,-1.1,1.27,-1.136565048,0.090925204,0.518371863,0.553819082
11,15,1,C,7,5-Jul,SB,-6.4,1.75,-6.612742097,0.529019368,0.766774667,0.538523399
11,16,1,C,7,5-Jul,SB,-10.5,1.93,-10.84903,0.8679224,0.479718537,0.479256981
11,17,1,C,7,5-Jul,SB,-0.6,1.87,-0.619944572,0.049595566,0.411784569,0.403346278
11,18,1,C,7,5-Jul,SB,19.4,1.66,20.04487448,-1.603589958,0.358692201,0.330662134
11,19,1,C,7,5-Jul,SB,-6.1,1.21,-6.302769811,0.504221585,0.492063609,0.387636639
11,20,1,C,7,5-Jul,SB,-1.6,1.14,-1.653185524,0.132254842,0.440872776,0.528417987
