Date,Timepoint,Experiment,Chamber,Treatment,Colony,Coral,Location,Turbidity,delta_FTA,MO2
12-Jul,6,5,2,HS,1,1-1,NB,53.675,-6.5,
12-Jul,6,5,3,HT,5,5-4,SB,1.1925,-4.4,
12-Jul,6,5,4,HX,5,5-7,SB,52.075,7.9,
12-Jul,7,5,1,C,1,1-2,NB,1.4625,-5.5,
12-Jul,7,5,2,HS,1,1-1,NB,40,-2.7,
12-Jul,7,5,3,HT,5,5-4,SB,1.36,6,
12-Jul,7,5,4,HX,5,5-7,SB,45.5,-0.4,
12-Jul,8,5,1,C,1,1-2,NB,1.3825,-7.1,
12-Jul,8,5,2,HS,1,1-1,NB,34.425,-19.1,
12-Jul,8,5,3,HT,5,5-4,SB,1.005,-5.7,
12-Jul,8,5,4,HX,5,5-7,SB,41.65,-17.3,
12-Jul,9,5,1,C,1,1-2,NB,0.925,-0.8,
12-Jul,9,5,2,HS,1,1-1,NB,36.475,2.9,
12-Jul,9,5,3,HT,5,5-4,SB,1.2575,3.9,
12-Jul,9,5,4,HX,5,5-7,SB,38.175,-2.4,
