Sample,Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Chamber Volume (mL),Coral Dry Weight (g),Incubation Time (min),Gnet,Gnet2,Turbidity
Y9S,2,5,4,C,8,2-Aug,SB,5.6,450,10.0408,12,10729.22476,-14.30563302,
Y11S,2,6,4,C,8,2-Aug,SB,-0.6,450,10.0408,12,-1149.559796,1.532746395,
Y13S,2,7,4,C,8,2-Aug,SB,-17.6,450,10.0408,12,-33720.42068,44.96056091,
Y15S,2,8,4,C,8,2-Aug,SB,0.1,450,10.0408,12,191.5932993,-0.255457732,
Y17S,2,9,4,C,8,2-Aug,SB,-4.3,450,10.0408,12,-8238.511872,10.9846825,
Y19S,2,10,4,C,8,2-Aug,SB,6.3,450,10.0408,12,12070.37786,-16.09383714,
Y21S,2,11,4,C,8,2-Aug,SB,-2.6,450,10.0408,12,-4981.425783,6.641901044,
Y23S,2,12,4,C,8,2-Aug,SB,8.2,450,10.0408,12,15710.65055,-20.94753406,
Y1S,2,13,4,C,8,2-Aug,SB,-5.4,450,10.0408,12,-10346.03816,13.79471755,
Y3S,2,14,4,C,8,2-Aug,SB,2.9,450,10.0408,12,5556.205681,-7.408274241,
Y5S,2,15,4,C,8,2-Aug,SB,-8.5,450,10.0408,12,-16285.43044,21.71390726,
Y7S,2,16,4,C,8,2-Aug,SB,-37.8,450,10.0408,12,-72422.26715,96.56302287,
Y9S,2,17,4,C,8,2-Aug,SB,-1.9,450,10.0408,12,-3640.272687,4.853696917,
Y11S,2,18,4,C,8,2-Aug,SB,-17.9,450,10.0408,12,-34295.20058,45.72693411,
Y13S,2,19,4,C,8,2-Aug,SB,-10.3,450,10.0408,12,-19734.10983,26.31214644,
Y15S,2,20,4,C,8,2-Aug,SB,1.9,450,10.0408,12,3640.272687,-4.853696917,
Y17S,2,21,4,C,8,2-Aug,SB,12.1,450,10.0408,12,23182.78922,-30.91038563,
Y19S,2,22,4,C,8,2-Aug,SB,-12.7,450,10.0408,12,-24332.34902,32.44313202,
Y21S,2,23,4,C,8,2-Aug,SB,-0.8,450,10.0408,12,-1532.746395,2.04366186,
Y1S,2,25,4,C,8,2-Aug,SB,-22.8,450,10.0408,12,-43683.27225,58.244363,
W1S,3,1,1,C,3,4-Mar,NB,-829.2,450,29.6912,12,-537254.6411,716.3395215,
W3S,3,2,1,C,3,4-Mar,NB,-4.3,450,29.6912,12,-2786.05277,3.714737026,
W5S,3,3,1,C,3,4-Mar,NB,1.1,450,29.6912,12,712.7111737,-0.950281565,
W7S,3,4,1,C,3,4-Mar,NB,3.3,450,29.6912,12,2138.133521,-2.850844695,
W9S,3,5,1,C,3,4-Mar,NB,-1.6,450,29.6912,12,-1036.670798,1.382227731,
W11S,3,6,1,C,3,4-Mar,NB,-2,450,29.6912,12,-1295.838498,1.727784663,
W13S,3,7,1,C,3,4-Mar,NB,-0.4,450,29.6912,12,-259.1676995,0.345556933,
W15S,3,8,1,C,3,4-Mar,NB,-15.7,450,29.6912,12,-10172.33221,13.56310961,
W17S,3,9,1,C,3,4-Mar,NB,7.5,450,29.6912,12,4859.394366,-6.479192488,
W19S,3,10,1,C,3,4-Mar,NB,13,450,29.6912,12,8422.950234,-11.23060031,
W21S,3,11,1,C,3,4-Mar,NB,-8.5,450,29.6912,12,-5507.313615,7.34308482,
W23S,3,12,1,C,3,4-Mar,NB,-3.1,450,29.6912,12,-2008.549671,2.678066228,
W1S,3,13,1,C,3,4-Mar,NB,-2,450,29.6912,12,-1295.838498,1.727784663,
W3S,3,14,1,C,3,4-Mar,NB,-8.3,450,29.6912,12,-5377.729765,7.170306353,
W5S,3,15,1,C,3,4-Mar,NB,16.8,450,29.6912,12,10885.04338,-14.51339117,
W7S,3,16,1,C,3,4-Mar,NB,0.4,450,29.6912,12,259.1676995,-0.345556933,
W9S,3,17,1,C,3,4-Mar,NB,7.8,450,29.6912,12,5053.770141,-6.738360188,
W11S,3,18,1,C,3,4-Mar,NB,2.6,450,29.6912,12,1684.590047,-2.246120063,
W13S,3,19,1,C,3,4-Mar,NB,2.9,450,29.6912,12,1878.965822,-2.505287762,
W15S,3,20,1,C,3,4-Mar,NB,-15.8,450,29.6912,12,-10237.12413,13.64949884,
W17S,3,21,1,C,3,4-Mar,NB,-0.9,450,29.6912,12,-583.1273239,0.777503099,
W19S,3,22,1,C,3,4-Mar,NB,5.4,450,29.6912,12,3498.763944,-4.665018591,
W21S,3,23,1,C,3,4-Mar,NB,11.2,450,29.6912,12,7256.695587,-9.675594115,
W23S,3,24,1,C,3,4-Mar,NB,7.6,450,29.6912,12,4924.186291,-6.565581721,
W1S,3,25,1,C,3,4-Mar,NB,-7,450,29.6912,12,-4535.434742,6.047246322,
R1S,3,1,2,HS,3,8-Mar,NB,-5,450,33.572,12,-2865.110807,3.820147742,
R3S,3,2,2,HS,3,8-Mar,NB,0.9,450,33.572,12,515.7199452,-0.687626594,
R5S,3,3,2,HS,3,8-Mar,NB,11.1,450,33.572,12,6360.545991,-8.480727988,
R7S,3,4,2,HS,3,8-Mar,NB,4.6,450,33.572,12,2635.901942,-3.514535923,
R9S,3,5,2,HS,3,8-Mar,NB,-7.9,450,33.572,12,-4526.875074,6.035833433,
R11S,3,6,2,HS,3,8-Mar,NB,3.1,450,33.572,12,1776.3687,-2.3684916,
R13S,3,7,2,HS,3,8-Mar,NB,-38.5,450,33.572,12,-22061.35321,29.41513761,
R15S,3,8,2,HS,3,8-Mar,NB,30.5,450,33.572,12,17477.17592,-23.30290123,
R17S,3,9,2,HS,3,8-Mar,NB,-1.2,450,33.572,12,-687.6265936,0.916835458,
R19S,3,10,2,HS,3,8-Mar,NB,36.2,450,33.572,12,20743.40224,-27.65786965,
R21S,3,11,2,HS,3,8-Mar,NB,-13.2,450,33.572,12,-7563.892529,10.08519004,
R23S,3,12,2,HS,3,8-Mar,NB,-4.1,450,33.572,12,-2349.390861,3.132521149,
R1S,3,13,2,HS,3,8-Mar,NB,-14.8,450,33.572,12,-8480.727988,11.30763732,
R3S,3,14,2,HS,3,8-Mar,NB,-1.1,450,33.572,12,-630.3243775,0.840432503,
R5S,3,15,2,HS,3,8-Mar,NB,6.9,450,33.572,12,3953.852913,-5.271803884,
R7S,3,16,2,HS,3,8-Mar,NB,-2.1,450,33.572,12,-1203.346539,1.604462052,
R9S,3,17,2,HS,3,8-Mar,NB,-22.2,450,33.572,12,-12721.09198,16.96145598,
R11S,3,18,2,HS,3,8-Mar,NB,-28,450,33.572,12,-16044.62052,21.39282736,
R13S,3,19,2,HS,3,8-Mar,NB,54.6,450,33.572,12,31287.01001,-41.71601334,
R15S,3,20,2,HS,3,8-Mar,NB,-51.6,450,33.572,12,-29567.94352,39.4239247,
R17S,3,21,2,HS,3,8-Mar,NB,-50.9,450,33.572,12,-29166.82801,38.88910402,
R19S,3,22,2,HS,3,8-Mar,NB,2.2,450,33.572,12,1260.648755,-1.680865007,
R21S,3,23,2,HS,3,8-Mar,NB,25.2,450,33.572,12,14440.15847,-19.25354462,
R23S,3,24,2,HS,3,8-Mar,NB,18.3,450,33.572,12,10486.30555,-13.98174074,
R1S,3,25,2,HS,3,8-Mar,NB,1.3,450,33.572,12,744.9288097,-0.993238413,
G1S,3,1,3,HT,6,1-Jun,SB,-3.4,450,15.8466,12,-4127.541555,5.50338874,
G3S,3,2,3,HT,6,1-Jun,SB,10.2,450,15.8466,12,12382.62466,-16.51016622,
G5S,3,3,3,HT,6,1-Jun,SB,-4,450,15.8466,12,-4855.931241,6.474574988,
G7S,3,4,3,HT,6,1-Jun,SB,-24.5,450,15.8466,12,-29742.57885,39.6567718,
G9S,3,5,3,HT,6,1-Jun,SB,179.7,450,15.8466,12,218152.711,-290.8702813,
G11S,3,6,3,HT,6,1-Jun,SB,1.4,450,15.8466,12,1699.575934,-2.266101246,
G13S,3,7,3,HT,6,1-Jun,SB,-3.4,450,15.8466,12,-4127.541555,5.50338874,
G15S,3,8,3,HT,6,1-Jun,SB,-1.5,450,15.8466,12,-1820.974215,2.42796562,
G17S,3,9,3,HT,6,1-Jun,SB,19.6,450,15.8466,12,23794.06308,-31.72541744,
G19S,3,10,3,HT,6,1-Jun,SB,-2.5,450,15.8466,12,-3034.957025,4.046609367,
G21S,3,11,3,HT,6,1-Jun,SB,6.7,450,15.8466,12,8133.684828,-10.8449131,
G23S,3,12,3,HT,6,1-Jun,SB,-3.8,450,15.8466,12,-4613.134679,6.150846238,
G1S,3,13,3,HT,6,1-Jun,SB,0.4,450,15.8466,12,485.5931241,-0.647457499,
G3S,3,14,3,HT,6,1-Jun,SB,-5.6,450,15.8466,12,-6798.303737,9.064404983,
G5S,3,15,3,HT,6,1-Jun,SB,27.7,450,15.8466,12,33627.32384,-44.83643179,
G7S,3,16,3,HT,6,1-Jun,SB,-10.3,450,15.8466,12,-12504.02294,16.67203059,
G9S,3,17,3,HT,6,1-Jun,SB,-4.2,450,15.8466,12,-5098.727803,6.798303737,
G11S,3,18,3,HT,6,1-Jun,SB,-7,450,15.8466,12,-8497.879671,11.33050623,
G13S,3,19,3,HT,6,1-Jun,SB,-6.2,450,15.8466,12,-7526.693423,10.03559123,
G15S,3,20,3,HT,6,1-Jun,SB,-20.4,450,15.8466,12,-24765.24933,33.02033244,
G17S,3,21,3,HT,6,1-Jun,SB,13.8,450,15.8466,12,16752.96278,-22.33728371,
G19S,3,22,3,HT,6,1-Jun,SB,-9.6,450,15.8466,12,-11654.23498,15.53897997,
G21S,3,23,3,HT,6,1-Jun,SB,-4.5,450,15.8466,12,-5462.922646,7.283896861,
